vividseatsID,vividseatsTitle,vividseatsPrice
VIVID - 0,Toronto Blue Jays at Baltimore Orioles,70
VIVID - 1,Texas Rangers at Baltimore Orioles,64
VIVID - 2,Oakland Athletics at Baltimore Orioles,78
VIVID - 3,Minnesota Twins at Baltimore Orioles,58
VIVID - 4,New York Yankees at Baltimore Orioles,65
VIVID - 5,Philadelphia Phillies at Miami Marlins,102
VIVID - 6,New York Mets at Miami Marlins,103
VIVID - 7,Washington Nationals at Miami Marlins,71
VIVID - 8,Houston Astros at Miami Marlins,94
VIVID - 9,Atlanta Braves at Miami Marlins,56
VIVID - 10,Cincinnati Reds at Miami Marlins,120
VIVID - 11,San Diego Padres at Miami Marlins,103
VIVID - 12,Chicago Cubs at Miami Marlins,81
VIVID - 13,Colorado Rockies at Miami Marlins,66
VIVID - 14,Los Angeles Dodgers at Miami Marlins,70
VIVID - 15,Toronto Blue Jays at Miami Marlins,86
VIVID - 16,Tampa Bay Rays at Miami Marlins,47
VIVID - 17,Arizona Diamondbacks at Miami Marlins,80
VIVID - 18,St. Louis Cardinals at Miami Marlins,77
VIVID - 19,Boston Red Sox at Miami Marlins,59
VIVID - 20,San Francisco Giants at Miami Marlins,54
VIVID - 21,Pittsburgh Pirates at Miami Marlins,80
VIVID - 22,Milwaukee Brewers at Miami Marlins,91
VIVID - 23,Cincinnati Reds at Pittsburgh Pirates,105
VIVID - 24,Chicago Cubs at Pittsburgh Pirates,53
VIVID - 25,Houston Astros at Pittsburgh Pirates,56
VIVID - 26,St. Louis Cardinals at Pittsburgh Pirates,47
VIVID - 27,Milwaukee Brewers at Pittsburgh Pirates,106
VIVID - 28,Washington Nationals at Pittsburgh Pirates,103
VIVID - 29,New York Mets at Pittsburgh Pirates,89
VIVID - 30,Atlanta Braves at Pittsburgh Pirates,87
VIVID - 31,San Diego Padres at Pittsburgh Pirates,58
VIVID - 32,Arizona Diamondbacks at Pittsburgh Pirates,49
VIVID - 33,San Francisco Giants at Pittsburgh Pirates,80
VIVID - 34,Los Angeles Dodgers at Pittsburgh Pirates,84
VIVID - 35,Colorado Rockies at Pittsburgh Pirates,91
VIVID - 36,Kansas City Royals at Pittsburgh Pirates,87
VIVID - 37,Minnesota Twins at Pittsburgh Pirates,87
VIVID - 38,Detroit Tigers at Pittsburgh Pirates,92
VIVID - 39,Miami Marlins at Pittsburgh Pirates,103
VIVID - 40,Philadelphia Phillies at Pittsburgh Pirates,37
VIVID - 41,New York Mets at Philadelphia Phillies,78
VIVID - 42,Pittsburgh Pirates at Philadelphia Phillies,67
VIVID - 43,Miami Marlins at Philadelphia Phillies,52
VIVID - 44,Washington Nationals at Philadelphia Phillies,82
VIVID - 45,Atlanta Braves at Philadelphia Phillies,95
VIVID - 46,Colorado Rockies at Philadelphia Phillies,49
VIVID - 47,Chicago Cubs at Philadelphia Phillies,52
VIVID - 48,San Francisco Giants at Philadelphia Phillies,56
VIVID - 49,Houston Astros at Philadelphia Phillies,88
VIVID - 50,Arizona Diamondbacks at Philadelphia Phillies,79
VIVID - 51,St. Louis Cardinals at Philadelphia Phillies,107
VIVID - 52,Milwaukee Brewers at Philadelphia Phillies,119
VIVID - 53,San Diego Padres at Philadelphia Phillies,64
VIVID - 54,Boston Red Sox at Philadelphia Phillies,62
VIVID - 55,Tampa Bay Rays at Philadelphia Phillies,37
VIVID - 56,Cincinnati Reds at Philadelphia Phillies,46
VIVID - 57,Los Angeles Dodgers at Philadelphia Phillies,43
VIVID - 58,Seattle Mariners at New York Yankees,71
VIVID - 59,Toronto Blue Jays at New York Yankees,76
VIVID - 60,Tampa Bay Rays at New York Yankees,59
VIVID - 61,Baltimore Orioles at New York Yankees,113
VIVID - 62,Minnesota Twins at New York Yankees,64
VIVID - 63,Kansas City Royals at New York Yankees,44
VIVID - 64,Cincinnati Reds at New York Yankees,71
VIVID - 65,Texas Rangers at New York Yankees,99
VIVID - 66,Chicago White Sox at New York Yankees,57
VIVID - 67,New York Mets at New York Yankees,67
VIVID - 68,Los Angeles Angels of Anaheim at New York Yankees,47
VIVID - 69,Atlanta Braves at New York Yankees,100
VIVID - 70,Detroit Tigers at New York Yankees,111
VIVID - 71,Boston Red Sox at New York Yankees,65
VIVID - 72,Cleveland Indians at New York Yankees,49
VIVID - 73,Boston Red Sox at Baltimore Orioles,42
VIVID - 74,Tampa Bay Rays at Baltimore Orioles,69
VIVID - 75,Chicago White Sox at Baltimore Orioles,105
VIVID - 76,Seattle Mariners at Baltimore Orioles,96
VIVID - 77,Kansas City Royals at Baltimore Orioles,81
VIVID - 78,Cleveland Indians at Baltimore Orioles,92
VIVID - 79,Philadelphia Phillies at Baltimore Orioles,76
VIVID - 80,Pittsburgh Pirates at Baltimore Orioles,43
VIVID - 81,Detroit Tigers at Baltimore Orioles,38
VIVID - 82,Washington Nationals at Baltimore Orioles,75
VIVID - 83,Miami Marlins at Washington Nationals,46
VIVID - 84,San Francisco Giants at Washington Nationals,67
VIVID - 85,Colorado Rockies at Washington Nationals,57
VIVID - 86,Cincinnati Reds at Washington Nationals,85
VIVID - 87,Los Angeles Dodgers at Washington Nationals,52
VIVID - 88,St. Louis Cardinals at Washington Nationals,48
VIVID - 89,Houston Astros at Washington Nationals,66
VIVID - 90,New York Mets at Washington Nationals,58
VIVID - 91,Philadelphia Phillies at Washington Nationals,38
VIVID - 92,Milwaukee Brewers at Washington Nationals,123
VIVID - 93,Baltimore Orioles at Washington Nationals,42
VIVID - 94,Pittsburgh Pirates at Washington Nationals,83
VIVID - 95,Tampa Bay Rays at Washington Nationals,92
VIVID - 96,Chicago Cubs at Washington Nationals,81
VIVID - 97,Arizona Diamondbacks at Washington Nationals,52
VIVID - 98,New York Yankees at Washington Nationals,80
VIVID - 99,Atlanta Braves at Washington Nationals,55
VIVID - 100,San Diego Padres at Washington Nationals,34
